Titulo,Link,Imagen,Descripcion,Fecha
Sector minero: opacado por controles deficientes y pesada tramitología,/noticia/1102338926/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia,/contenido/cache/6a/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia-imagen-1-_20210124073452-200x138.jpg,"La fusión de ministerios dejó una creciente cantidad de trabajo en, cada vez, menos manos. El sector crece, pero no tiene apoyo.",""
Siete de cada diez dólares entregado en microcrédito fue diferido durante la crisis,/noticia/1102338929/siete-de-cada-diez-dolares-entregado-en-microcredito-fue-diferido-durante-la-crisis,/contenido/cache/78/siete-de-cada-diez-dolares-entregado-en-microcredito-fue-diferido-durante-la-crisis-imagen-1-_20210124074122-200x80.jpg,"Ese segmento es uno de los más golpeados por el cierre de negocios, el despido de empleados y la reducción de ingresos. Los bancos de microfinanzas perdieron el 91% de su utilidad.",""
UE exige respuestas por retrasos de vacunas de Pfizer y Astrazeneca,/noticia/1102338920/ue-exige-respuestas-por-retrasos-de-vacunas-de-pfizer-y-astrazeneca,/contenido/cache/68/ue-exige-respuestas-por-retrasos-de-vacunas-de-pfizer-y-astrazeneca-imagen-1-_20210124072708-200x80.jpg,Los laboratorios aseguran que habrá un retraso en las entregas pero eso permitirá tener más vacunas en los próximos meses.,""
Rebrote: Test masivos y confinamiento en China ,/noticia/1102338921/rebrote-test-masivos-y-confinamiento-en-china-,/contenido/cache/53/rebrote-test-masivos-y-confinamiento-en-china-imagen-1-_20210124073034-200x80.jpg,"Las autoridades chinas redoblan sus esfuerzos por contener los rebrotes que azotan tres provincias nororientales del país, donde se han aislado al menos once zonas por los contagios de los últimos días y se realizan test masivos entre la población en un intento por frenar la curva de casos.",""
En campaña electoral se proponen reformas para garantizar independencia judicial,/noticia/1102338934/en-campana-electoral-se-proponen-reformas-para-garantizar-independencia-judicial,/contenido/cache/75/en-campana-electoral-se-proponen-reformas-para-garantizar-independencia-judicial-imagen-1-_20210124080050-200x138.jpg,Desaparecer o modificar la estructura de este organismo requiere de reformas constitucionales.,""
Mujeres llaman a los candidatos a trabajar con enfoque de género ,/noticia/1102338930/mujeres-llaman-a-los-candidatos-a-trabajar-con-enfoque-de-genero-,/contenido/cache/66/mujeres-llaman-a-los-candidatos-a-trabajar-con-enfoque-de-genero-imagen-1-_20210124074821-200x80.jpg,La real aplicación de la Ley para Prevenir y Erradicar la violencia contra las mujeres es el reto que deberá enfrentar el nuevo gobierno. ,""
"Yaku Pérez dice que el poder es tóxico, pero lucha por ser presidente",/noticia/1102338933/yaku-perez-dice-que-el-poder-es-toxico-pero-lucha-por-ser-presidente,/contenido/cache/69/yaku-perez-dice-que-el-poder-es-toxico-pero-lucha-por-ser-presidente-imagen-1-_20210124075644-200x80.jpg,"Agua de Monte (su nombre traducido al español), propone eliminar cuatro instituciones públicas y el examen de ingreso a la universidad.",""
Sector minero: opacado por controles deficientes y pesada tramitología,/noticia/1102338926/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia,/contenido/cache/6a/sector-minero-opacado-por-controles-deficientes-y-pesada-tramitologia-imagen-1-_20210124073452-200x80.jpg,"La fusión de ministerios dejó una creciente cantidad de trabajo en, cada vez, menos manos. El sector crece, pero no tiene apoyo.",""
Simulacro para ultimar detalles previo al sufragio ,/esmeraldas/noticia/1102338963/simulacro-para-ultimar-detalles-previo-al-sufragio-,/contenido/cache/58/simulacro-para-ultimar-detalles-previo-al-sufragio-imagen-1-_20210124102550-200x138.jpg,"Las personas que se dedican a plastificar los certificados de votación y a la venta de comida u otros productos, no podrán hacerlo cerca de los recintos electorales, el día de las elecciones. ",""
Prevenir el Covid 19 durante las elecciones ,/esmeraldas/noticia/1102338965/prevenir-el-covid-19-durante-las-elecciones-,/contenido/cache/52/prevenir-el-covid-19-durante-las-elecciones-imagen-1-_20210124102723-200x80.jpg,"El domingo 7 de febrero de 2021, los ciudadanos acudirán a las urnas para elegir al Presidente, asambleístas nacionales y provinciales y parlamentarios andinos.",""
